"age","gender","driving_experience","education","income","credit_score","vehicle_ownership","vehicle_year","married","children","annual_mileage","speeding_violations","duis","past_accidents","outcome","zipcode"
"65+","female","0-9y","high school","upper class",0.629027313918201,"1","after 2015","0","1",12000,0,0,0,"0","1"
"16-25","male","0-9y","none","poverty",0.357757117018463,"0","before 2015","0","0",16000,0,0,0,"1","1"
"16-25","female","0-9y","high school","working class",0.493145785218198,"1","before 2015","0","0",11000,0,0,0,"0","1"
"16-25","male","0-9y","university","working class",0.206012850732456,"1","before 2015","0","1",11000,0,0,0,"0","3"
"26-39","male","10-19y","none","working class",0.388365888157218,"1","before 2015","0","0",12000,2,0,1,"1","3"
"40-64","female","20-29y","high school","upper class",0.619127372584739,"1","after 2015","0","1",13000,3,0,3,"0","1"
"65+","male","30y+","high school","upper class",0.492943550219534,"0","after 2015","1","1",13000,7,0,3,"0","1"
"26-39","female","0-9y","university","working class",0.468689297434465,"0","after 2015","0","1",14000,0,0,0,"1","1"
"40-64","female","20-29y","university","working class",0.521814936297107,"0","before 2015","1","0",13000,0,0,0,"0","1"
"40-64","female","0-9y","high school","upper class",0.561531031938365,"1","before 2015","0","1",11000,0,0,0,"1","3"
"65+","male","30y+","high school","upper class",0.620361264012603,"1","after 2015","1","1",10000,6,2,7,"0","1"
"65+","female","30y+","high school","upper class",0.729830881559394,"1","after 2015","1","0",12000,4,0,0,"0","3"
"40-64","male","20-29y","high school","upper class",0.637044743590245,"1","before 2015","1","1",8000,4,1,2,"0","1"
"16-25","female","0-9y","university","upper class",0.59125997174597,"1","before 2015","0","1",NA,0,0,0,"0","1"
"26-39","male","10-19y","high school","middle class",0.461567963043945,"1","before 2015","1","1",12000,0,2,1,"0","1"
"26-39","female","0-9y","high school","upper class",0.762797941081613,"0","after 2015","1","0",NA,0,0,0,"0","1"
"65+","male","30y+","university","upper class",0.796174846245699,"1","before 2015","1","1",NA,10,2,1,"0","3"
"16-25","male","0-9y","none","poverty",NA,"0","before 2015","1","0",12000,0,0,0,"1","3"
"26-39","female","0-9y","university","upper class",0.680594279507338,"1","before 2015","0","1",NA,0,0,0,"1","3"
"16-25","female","0-9y","high school","working class",0.417713981623119,"1","before 2015","0","1",18000,0,0,0,"1","1"
"16-25","female","0-9y","high school","working class",0.409513530651607,"0","before 2015","0","0",17000,0,0,0,"1","1"
"16-25","male","0-9y","high school","middle class",0.553260053195238,"1","after 2015","1","1",8000,0,0,0,"1","3"
"40-64","male","20-29y","none","poverty",0.330950261858189,"1","before 2015","1","1",13000,3,1,1,"0","1"
"16-25","male","0-9y","none","poverty",NA,"0","before 2015","0","0",17000,0,0,0,"0","1"
"65+","male","30y+","high school","upper class",0.500630660442716,"1","before 2015","1","1",7000,13,2,3,"0","3"
"26-39","female","10-19y","university","middle class",0.551970181363628,"1","before 2015","1","0",14000,0,0,0,"0","1"
"40-64","male","10-19y","high school","middle class",0.626996049738665,"1","before 2015","0","0",13000,1,1,0,"0","1"
